Nd,Nmfe,Nw,absolute_frobenius_error,backend_mode,cache_status,dt,krylov_dimension,log_path,max_abs_entry_error,metadata_path,npz_path,plot,random_seed,ratio_nmfe_over_nw,reference_frobenius_norm,relative_frobenius_error,sipc,total_shots_per_correlation,uqk_mode
1,1000,10,0.909247980332854,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250623.log,0.4838208686400002,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250623_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250623_uqk_overlap_matrix.npz,plot2,250623,100.0,3.9980734989604616,0.2274215270352752,10,10000,stochastic
2,1000,10,0.6033459742273205,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250624.log,0.28739481368130265,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250624_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250624_uqk_overlap_matrix.npz,plot2,250624,100.0,3.9980734989604616,0.15090917522756808,10,10000,stochastic
4,1000,10,0.39716058733298565,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250625.log,0.23657960086565166,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250625_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250625_uqk_overlap_matrix.npz,plot2,250625,100.0,3.9980734989604616,0.09933799051874642,10,10000,stochastic
8,1000,10,0.32789981914348776,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250626.log,0.15082357339020003,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250626_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250626_uqk_overlap_matrix.npz,plot2,250626,100.0,3.9980734989604616,0.0820144550190848,10,10000,stochastic
16,1000,10,0.20088614847341948,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250627.log,0.07637311073604104,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250627_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250627_uqk_overlap_matrix.npz,plot2,250627,100.0,3.9980734989604616,0.050245736734367656,10,10000,stochastic
32,1000,10,0.16814021737916243,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628.log,0.06651340253872137,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250628_uqk_overlap_matrix.npz,plot2,250628,100.0,3.9980734989604616,0.04205530924403479,10,10000,stochastic
64,1000,10,0.16944407502066847,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250629.log,0.06367796291563255,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250629_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_100p0_Nmfe_1000_Nw_10_seed_250629_uqk_overlap_matrix.npz,plot2,250629,100.0,3.9980734989604616,0.042381430722753244,10,10000,stochastic
1,200,50,1.2750424175774784,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250630.log,0.7318013398410022,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250630_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250630_uqk_overlap_matrix.npz,plot2,250630,4.0,3.9980734989604616,0.3189142015295622,50,10000,stochastic
2,200,50,0.6216188759244313,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250631.log,0.36100348050474396,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250631_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250631_uqk_overlap_matrix.npz,plot2,250631,4.0,3.9980734989604616,0.15547960188477233,50,10000,stochastic
4,200,50,0.2947559931768151,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250632.log,0.13773857290048167,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250632_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250632_uqk_overlap_matrix.npz,plot2,250632,4.0,3.9980734989604616,0.07372450587850737,50,10000,stochastic
8,200,50,0.3891024027834139,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250633.log,0.13309298311904927,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250633_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250633_uqk_overlap_matrix.npz,plot2,250633,4.0,3.9980734989604616,0.09732247365752139,50,10000,stochastic
16,200,50,0.15539994904616292,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250634.log,0.06397640731298573,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250634_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250634_uqk_overlap_matrix.npz,plot2,250634,4.0,3.9980734989604616,0.03886870741284982,50,10000,stochastic
32,200,50,0.21545318991547335,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250635.log,0.08389219439919683,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250635_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250635_uqk_overlap_matrix.npz,plot2,250635,4.0,3.9980734989604616,0.0538892519038215,50,10000,stochastic
64,200,50,0.14009680682112252,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636.log,0.053833033025111734,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_64_Nk_10000_R_4p0_Nmfe_200_Nw_50_seed_250636_uqk_overlap_matrix.npz,plot2,250636,4.0,3.9980734989604616,0.03504107837375903,50,10000,stochastic
1,100,100,1.1426748600932417,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250637.log,0.603825694022808,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250637_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_1_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250637_uqk_overlap_matrix.npz,plot2,250637,1.0,3.9980734989604616,0.28580636658889547,100,10000,stochastic
2,100,100,0.8500769166516469,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250638.log,0.3992164032707374,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250638_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_2_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250638_uqk_overlap_matrix.npz,plot2,250638,1.0,3.9980734989604616,0.21262163311221646,100,10000,stochastic
4,100,100,0.3691897977326359,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250639.log,0.16577155256447657,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250639_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_4_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250639_uqk_overlap_matrix.npz,plot2,250639,1.0,3.9980734989604616,0.09234192363612846,100,10000,stochastic
8,100,100,0.6276761349124916,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250640.log,0.21246810413739534,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250640_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_8_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250640_uqk_overlap_matrix.npz,plot2,250640,1.0,3.9980734989604616,0.1569946463154551,100,10000,stochastic
16,100,100,0.3555442443947914,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250641.log,0.12074514950564358,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250641_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_16_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250641_uqk_overlap_matrix.npz,plot2,250641,1.0,3.9980734989604616,0.08892889149917739,100,10000,stochastic
32,100,100,0.19289513411526685,local_noiseless_statevector,generated,0.1,4,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/logs/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250642.log,0.11265694512761877,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250642_uqk_overlap_matrix_metadata.json,/Users/nstair/Src/qforte-qiskit/notebooks/diatomic_h2_sto_3g/experiments/uqk_overlap_hyperparameters/results/plot2_stochastic_shot_budget/diatomic_h2_sto_3g_plot2_stochastic_backend_local_noiseless_statevector_M_4_dt_0p1_Nd_32_Nk_10000_R_1p0_Nmfe_100_Nw_100_seed_250642_uqk_overlap_matrix.npz,plot2,250642,1.0,3.9980734989604616,0.048247020512609755,100,10000,stochastic
